Object,Time Step,Instance ID,Coordinates,Wireless Delay,Num Users
MonitoredBaseStation_1,62,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,62,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,62,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,62,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,63,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,63,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,63,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,63,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,64,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,64,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,64,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,64,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,65,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,65,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,65,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,65,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,66,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,66,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,66,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,66,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,67,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,67,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,67,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,67,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,68,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,68,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,68,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,68,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,69,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,69,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,69,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,69,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,70,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,70,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,70,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,70,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,71,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,71,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,71,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,71,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,72,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,72,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,72,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,72,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,73,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,73,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,73,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,73,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,74,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,74,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,74,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,74,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,75,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,75,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,75,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,75,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,76,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,76,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,76,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,76,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,77,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,77,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,77,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,77,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,78,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,78,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,78,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,78,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,79,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,79,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,79,3,"[500, 0]",5.0,16
MonitoredBaseStation_4,79,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,80,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,80,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,80,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,80,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,81,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,81,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,81,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,81,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,82,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,82,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,82,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,82,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,83,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,83,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,83,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,83,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,84,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,84,2,"[250, 0]",5.0,17
MonitoredBaseStation_3,84,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,84,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,85,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,85,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,85,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,85,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,86,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,86,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,86,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,86,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,87,1,"[0, 0]",5.0,7
MonitoredBaseStation_2,87,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,87,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,87,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,88,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,88,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,88,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,88,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,89,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,89,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,89,3,"[500, 0]",5.0,15
MonitoredBaseStation_4,89,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,90,1,"[0, 0]",5.0,7
MonitoredBaseStation_2,90,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,90,3,"[500, 0]",5.0,14
MonitoredBaseStation_4,90,4,"[750, 0]",5.0,15
MonitoredBaseStation_1,91,1,"[0, 0]",5.0,7
MonitoredBaseStation_2,91,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,91,3,"[500, 0]",5.0,13
MonitoredBaseStation_4,91,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,92,1,"[0, 0]",5.0,6
MonitoredBaseStation_2,92,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,92,3,"[500, 0]",5.0,13
MonitoredBaseStation_4,92,4,"[750, 0]",5.0,16
MonitoredBaseStation_1,93,1,"[0, 0]",5.0,7
MonitoredBaseStation_2,93,2,"[250, 0]",5.0,14
